time(sec),X(m),Y(m),VX(m/s),VY(m/s),AX(m/s^2),AY(m/s^2),Xm(m),Ym(m),Vm(m),Hdgm(rad),u_rudder,u_throttle,P_11,P_12,P_13,P_14,P_15,P_16,P_21,P_22,P_23,P_24,P_25,P_26,P_31,P_32,P_33,P_34,P_35,P_36,P_41,P_42,P_43,P_44,P_45,P_46,P_51,P_52,P_53,P_54,P_55,P_56,P_61,P_62,P_63,P_64,P_65,P_66
154.000000,-31.132845,-17.394979,-4.515839,0.831970,-0.062976,0.350511,-30.434572,-16.987256,1.720240,2.748896,-0.859432,0.000000,0.354874,0.000000,0.376797,0.000000,0.192785,0.000000,0.000000,0.354874,0.000000,0.376797,0.000000,0.192785,0.376797,0.000000,0.637272,0.000000,0.446663,0.000000,0.000000,0.376797,0.000000,0.637272,0.000000,0.446663,0.192785,0.000000,0.446663,0.000000,0.475161,0.000000,0.000000,0.192785,0.000000,0.446663,0.000000,0.475161
154.200000,-31.473558,-17.139159,-3.934593,0.988893,0.240360,0.394860,-30.434572,-16.987256,1.667310,2.698281,-0.859432,0.000000,0.351728,0.000000,0.370526,0.000000,0.189266,0.000000,0.000000,0.351728,0.000000,0.370526,0.000000,0.189266,0.370526,0.000000,0.623834,0.000000,0.438519,0.000000,0.000000,0.370526,0.000000,0.623834,0.000000,0.438519,0.189266,0.000000,0.438519,0.000000,0.469904,0.000000,0.000000,0.189266,0.000000,0.438519,0.000000,0.469904
154.400000,-31.989163,-16.952251,-3.607477,1.048214,0.382869,0.384824,-31.492101,-16.987256,1.561450,2.670355,-0.945372,0.398480,0.349027,0.000000,0.365447,0.000000,0.186635,0.000000,0.000000,0.349027,0.000000,0.365447,0.000000,0.186635,0.365447,0.000000,0.613547,0.000000,0.432726,0.000000,0.000000,0.365447,0.000000,0.613547,0.000000,0.432726,0.186635,0.000000,0.432726,0.000000,0.466395,0.000000,0.000000,0.186635,0.000000,0.432726,0.000000,0.466395
154.600000,-32.283092,-16.332165,-3.093198,1.544992,0.606593,0.599404,-31.492101,-15.573506,1.455590,2.633703,-0.960997,0.539109,0.346775,0.000000,0.361470,0.000000,0.184759,0.000000,0.000000,0.346775,0.000000,0.361470,0.000000,0.184759,0.361470,0.000000,0.605935,0.000000,0.428766,0.000000,0.000000,0.361470,0.000000,0.605935,0.000000,0.428766,0.184759,0.000000,0.428766,0.000000,0.464138,0.000000,0.000000,0.184759,0.000000,0.428766,0.000000,0.464138
154.800000,-32.530406,-15.860202,-2.598614,1.821765,0.797664,0.679715,-31.848322,-15.573506,1.323260,2.595303,-0.960997,0.539109,0.344954,0.000000,0.358469,0.000000,0.183497,0.000000,0.000000,0.344954,0.000000,0.358469,0.000000,0.183497,0.358469,0.000000,0.600505,0.000000,0.426176,0.000000,0.000000,0.358469,0.000000,0.600505,0.000000,0.426176,0.183497,0.000000,0.426176,0.000000,0.462735,0.000000,0.000000,0.183497,0.000000,0.426176,0.000000,0.462735
155.000000,-32.749171,-15.513603,-2.143489,1.925196,0.949246,0.663043,-32.204542,-15.573506,1.243870,2.581346,-0.992248,0.585986,0.343531,0.000000,0.356292,0.000000,0.182709,0.000000,0.000000,0.343531,0.000000,0.356292,0.000000,0.182709,0.356292,0.000000,0.596777,0.000000,0.424560,0.000000,0.000000,0.356292,0.000000,0.596777,0.000000,0.424560,0.182709,0.000000,0.424560,0.000000,0.461884,0.000000,0.000000,0.182709,0.000000,0.424560,0.000000,0.461884
155.400000,-32.948056,-15.078409,-1.179715,1.801483,1.240815,0.468890,-32.204542,-15.573506,1.164470,2.520257,-0.992248,0.585986,0.439317,0.000000,0.440451,0.000000,0.219872,0.000000,0.000000,0.439317,0.000000,0.440451,0.000000,0.219872,0.440451,0.000000,0.669659,0.000000,0.456591,0.000000,0.000000,0.440451,0.000000,0.669659,0.000000,0.456591,0.219872,0.000000,0.456591,0.000000,0.475661,0.000000,0.000000,0.219872,0.000000,0.456591,0.000000,0.475661
155.600000,-32.781390,-13.931999,-0.557924,2.663434,1.426004,0.849637,-32.204542,-12.746008,1.138010,2.441716,-0.992248,0.585986,0.395743,0.000000,0.391380,0.000000,0.193989,0.000000,0.000000,0.395743,0.000000,0.391380,0.000000,0.193989,0.391380,0.000000,0.618489,0.000000,0.431075,0.000000,0.000000,0.391380,0.000000,0.618489,0.000000,0.431075,0.193989,0.000000,0.431075,0.000000,0.463384,0.000000,0.000000,0.193989,0.000000,0.431075,0.000000,0.463384
155.800000,-32.879790,-13.146598,-0.287882,3.066362,1.418451,0.965730,-32.905851,-12.746008,0.000000,2.338744,-0.992248,0.585986,0.370449,0.000000,0.366175,0.000000,0.182447,0.000000,0.000000,0.370449,0.000000,0.366175,0.000000,0.182447,0.366175,0.000000,0.597138,0.000000,0.422633,0.000000,0.000000,0.366175,0.000000,0.597138,0.000000,0.422633,0.182447,0.000000,0.422633,0.000000,0.460510,0.000000,0.000000,0.182447,0.000000,0.422633,0.000000,0.460510
156.000000,-32.658540,-12.596494,0.245208,3.177374,1.543990,0.924387,-32.204542,-12.746008,1.058610,2.145010,-0.992248,0.539109,0.355533,0.000000,0.354032,0.000000,0.178206,0.000000,0.000000,0.355533,0.000000,0.354032,0.000000,0.178206,0.354032,0.000000,0.590793,0.000000,0.421839,0.000000,0.000000,0.354032,0.000000,0.590793,0.000000,0.421839,0.178206,0.000000,0.421839,0.000000,0.461233,0.000000,0.000000,0.178206,0.000000,0.421839,0.000000,0.461233
156.200000,-32.448802,-11.730747,0.684694,3.575458,1.610460,1.032828,-32.204542,-11.332258,1.005680,1.963497,-0.992248,0.539109,0.347032,0.000000,0.349362,0.000000,0.177693,0.000000,0.000000,0.347032,0.000000,0.349362,0.000000,0.177693,0.349362,0.000000,0.591723,0.000000,0.424013,0.000000,0.000000,0.349362,0.000000,0.591723,0.000000,0.424013,0.177693,0.000000,0.424013,0.000000,0.462877,0.000000,0.000000,0.177693,0.000000,0.424013,0.000000,0.462877
