systime,t,lon,lat,v,hdg,status
1462053213.23,78818.2,-963516388,305971908,1.69378,0.00654928,0
1462053213.43,78818.4,-963516388,305972004,1.72024,0.00919945,0
1462053213.63,78818.6,-963516260,305972004,1.72024,0.0118801,0
1462053213.83,78818.8,-963516260,305972004,1.61438,0.0140429,0
1462053214.03,78819,-963516260,305972004,1.45559,0.0161143,0
1462053214.23,78819.2,-963516260,305972004,1.19094,0.0178506,0
1462053214.43,78819.4,-963516260,305971940,0.952749,0.0197697,0
1462053214.63,78819.6,-963516260,305971940,0.767493,0.0211405,0
1462053214.83,78819.8,-963516260,305971908,0.582236,0.0229072,0
1462053215.03,78820,-963516260,305971908,0.449909,0.0256183,0
1462053215.23,78820.2,-963516260,305971908,0,91.512,0
1462053215.43,78820.4,-963516260,305971876,0.264653,0.0334166,0
1462053215.63,78820.6,-963516260,305971876,0,0.0334166,0
1462053215.83,78820.8,-963516260,305971844,0,0.0334166,0
1462053216.03,78821,-963516260,305971844,0.264653,0.0626294,0
1462053216.23,78821.2,-963516260,305971844,0.344048,0.0654014,0
1462053216.43,78821.4,-963516260,305971844,0.449909,0.0658583,0
1462053216.63,78821.6,-963516260,305971844,0.529305,0.0657365,0
1462053216.83,78821.8,-963516260,305971844,0.608701,0.0651577,0
1462053217.03,78822,-963516260,305971781,0.688097,0.0641829,0
1462053217.23,78822.2,-963516388,305971781,0.767493,0.0633909,0
1462053217.43,78822.4,-963516388,305971718,0.793958,0.0619288,0
1462053217.63,78822.6,-963516388,305971622,1.00568,0.0606798,0
1462053217.83,78822.8,-963516388,305971590,1.16447,0.0594004,0
1462053218.03,78823,-963516388,305971495,1.32326,0.058578,0
1462053218.23,78823.2,-963516388,305971368,1.50852,0.057786,0
1462053218.43,78823.4,-963516388,305971304,1.66731,0.0574509,0
1462053218.63,78823.6,-963516388,305971177,1.85257,0.056994,0
1462053218.83,78823.8,-963516388,305971050,1.98489,0.0570549,0
1462053219.03,78824,-963516388,305970986,2.14369,0.0572377,0
1462053219.23,78824.2,-963516388,305970859,2.32894,0.05739,0
1462053219.43,78824.4,-963516388,305970700,2.54067,0.0576032,0
1462053219.63,78824.6,-963516388,305970573,2.77885,0.0579687,0
1462053219.83,78824.8,-963516388,305970414,3.01704,0.0580297,0
1462053220.03,78825,-963516388,305970255,3.22876,0.0581515,0
1462053220.23,78825.2,-963516515,305970128,3.41402,0.058182,0
1462053220.43,78825.4,-963516515,305969969,3.57281,0.0586084,0
1462053220.63,78825.6,-963516515,305969746,3.7316,0.0589435,0
1462053220.83,78825.8,-963516769,305969620,3.89039,0.0592177,0
1462053221.03,78826,-963516769,305969524,3.96979,0.0592786,0
1462053221.23,78826.2,-963516896,305969397,3.99625,0.0596137,0
1462053221.43,78826.4,-963516896,305969174,4.07565,0.0600097,0
1462053221.63,78826.6,-963517023,305969016,4.20798,0.0604362,0
1462053222.03,78827,-963517023,305968729,4.31384,0.0607408,0
1462053222.23,78827.2,-963517023,305968570,4.3403,0.0603143,0
1462053222.43,78827.4,-963517023,305968443,4.36677,0.0597051,0
1462053222.63,78827.6,-963517278,305968252,4.4197,0.0591263,0
1462053222.83,78827.8,-963517278,305968125,4.44616,0.0586389,0
1462053223.03,78828,-963517278,305967934,4.4197,0.0578469,0
1462053223.23,78828.2,-963517278,305967776,4.36677,0.0566894,0
1462053223.43,78828.4,-963517278,305967648,4.04919,0.0544352,0
1462053223.63,78828.6,-963517023,305967553,3.70514,0.0520287,0
1462053223.83,78828.8,-963517023,305967553,3.28169,0.0514499,0
1462053224.03,78829,-963517023,305967553,2.80532,0.0512976,0
1462053224.23,78829.2,-963517023,305967522,2.32894,0.0519069,0
1462053224.43,78829.4,-963517023,305967522,1.87903,0.0523638,0
1462053224.93,78829.6,-963517023,305967522,1.42912,0.0529121,0
1462053224.93,78829.8,-963517023,305967522,1.08508,0.0519373,0
1462053225.03,78830,-963517023,305967553,0.741027,0.0507798,0
1462053225.23,78830.2,-963517023,305967553,0.396979,0.0450225,0
1462053225.43,78830.4,-963517023,305967648,0.238187,0.025131,0
1462053225.63,78830.6,-963517023,305967712,0.529305,0.0102656,0
1462053225.83,78830.8,-963517023,305967839,1.00568,0.0068539,0
1462053226.03,78831,-963517023,305967966,1.48205,0.00615328,0
1462053226.23,78831.2,-963516896,305968125,1.9055,0.00615328,0
1462053226.43,78831.4,-963516896,305968252,2.27601,0.00627512,0
1462053226.63,78831.6,-963516769,305968380,2.64653,0.00645789,0
1462053226.83,78831.8,-963516769,305968507,2.96411,0.0068539,0
1462053227.03,78832,-963516769,305968666,3.2023,0.00645789,0
1462053227.23,78832.2,-963516515,305968793,3.36109,0.00530035,0
1462053227.43,78832.4,-963516515,305968888,3.41402,0.0037468,0
1462053227.63,78832.6,-963516515,305969016,3.49341,0.00240648,0
1462053227.83,78832.8,-963516515,305969238,3.67867,0.00155355,0
1462053228.03,78832.9,-963516515,305969302,3.75807,0.00127939,0
1462053228.23,78833.2,-963516515,305969588,3.99625,0.000974777,0
1462053228.43,78833.4,-963516515,305969715,4.12858,0.00127939,0
1462053228.63,78833.6,-963516515,305969906,4.28737,0.00176678,0
1462053228.83,78833.8,-963516515,305970096,4.36677,0.00228463,0
1462053229.03,78834,-963516388,305970255,4.47263,0.00265017,0
1462053229.23,78834.2,-963516388,305970414,4.47263,0.00274156,0
1462053229.43,78834.4,-963516388,305970573,4.52556,0.00258925,0
1462053229.63,78834.6,-963516388,305970732,4.57849,0.00231509,0
1462053229.83,78834.8,-963516388,305970891,4.65789,0.00201048,0
1462053230.03,78835,-963516388,305971050,4.68435,0.00194955,0
1462053230.23,78835.2,-963516388,305971272,4.71082,0.00188863,0
1462053230.43,78835.4,-963516388,305971368,4.63142,0.00198001,0
1462053230.63,78835.6,-963516388,305971558,4.57849,0.00204094,0
1462053230.83,78835.8,-963516388,305971654,4.47263,0.0020714,0
1462053231.03,78836,-963516388,305971781,4.3403,0.00219325,0
1462053231.23,78836.2,-963516260,305971940,4.20798,0.00225417,0
1462053231.43,78836.4,-963516260,305972036,4.07565,0.0024674,0
1462053231.63,78836.6,-963516260,305972162,3.89039,0.00268064,0
1462053231.83,78836.8,-963516260,305972226,3.7316,0.00277202,0
1462053232.03,78837,-963516260,305972353,3.59928,0.00292433,0
1462053232.23,78837.2,-963516133,305972448,3.46695,0.00289387,0
1462053232.43,78837.4,-963516133,305972512,3.22876,0.00219325,0
1462053232.63,78837.6,-963516133,305972640,3.09644,0.00112709,0
1462053232.83,78837.8,-963516260,305972766,3.0435,0.109632,0
1462053233.03,78838,-963516260,305972862,2.83178,0.108109,0
1462053233.23,78838.2,-963516260,305972862,2.4348,0.106159,0
1462053233.43,78838.4,-963516260,305972894,1.93196,0.104788,0
1462053233.63,78838.6,-963516260,305972894,1.53499,0.103966,0
1462053233.83,78838.8,-963516260,305972894,1.40266,0.10354,0
1462053234.03,78839,-963516260,305972926,1.2174,0.103083,0
1462053234.23,78839.2,-963516388,305972957,1.05861,0.101803,0
1462053234.43,78839.4,-963516388,305972926,0.926284,0.100676,0
1462053234.63,78839.6,-963516388,305972926,0.820423,0.100006,0
1462053234.83,78839.8,-963516388,305972894,0.688097,0.0984829,0
1462053235.03,78839.9,-963516388,305972894,0.661632,0.098361,0
1462053235.23,78840.2,-963516388,305972894,0.529305,0.096442,0
1462053235.43,78840.3,-963516388,305972894,0.50284,0.0960764,0
1462053235.63,78840.6,-963516388,305972894,0.396979,0.0940659,0
1462053235.83,78840.8,-963516388,305972894,0.370514,0.0926647,0
1462053236.03,78841,-963516388,305972894,0.317583,0.0911111,0
1462053236.23,78841.2,-963516388,305972894,0.291118,0.0897404,0
1462053236.43,78841.4,-963516388,305972926,0.264653,0.0884001,0
1462053236.63,78841.5,-963516388,305972926,0.238187,0.0879431,0
1462053237.03,78842,-963516515,305972926,0,0.086024,0
1462053237.23,78842.2,-963516515,305972926,0,0.086024,0
1462053237.43,78842.4,-963516515,305972926,0,0.086024,0
1462053237.63,78842.6,-963516515,305972926,0,0.086024,0
1462053237.83,78842.8,-963516515,305972926,0,0.086024,0
1462053238.03,78843,-963516515,305972926,0,0.086024,0
1462053238.23,78843.2,-963516515,305972926,0,0.086024,0
1462053238.43,78843.4,-963516515,305972926,0,0.086024,0
1462053238.63,78843.5,-963516515,305972926,0,0.086024,0
1462053238.83,78843.8,-963516515,305972926,0,0.086024,0
1462053239.03,78844,-963516515,305972926,0.238187,0.0303704,0
1462053239.23,78844.2,-963516515,305972926,0.291118,0.0300353,0
1462053239.43,78844.4,-963516515,305972926,0.317583,0.0298525,0
1462053239.63,78844.6,-963516515,305972894,0.344048,0.0295479,0
1462053239.83,78844.8,-963516515,305972894,0.370514,0.0293042,0
1462053240.03,78845,-963516515,305972894,0.396979,0.0289996,0
1462053240.23,78845.1,-963516515,305972894,0.423444,0.0288168,0
1462053240.43,78845.1,-963516515,305972894,0.423444,0.0288168,0
1462053240.63,78845.6,-963516388,305972894,0.529305,0.0285122,0
1462053240.83,78845.8,-963516388,305972894,0.608701,0.0286036,0
1462053241.03,78846,-963516388,305972894,0.688097,0.0286036,0
1462053241.23,78846.2,-963516388,305972894,0.741027,0.0289387,0
1462053241.43,78846.4,-963516388,305972894,0.767493,0.0290605,0
1462053241.63,78846.6,-963516388,305972894,0.820423,0.0299135,0
1462053241.83,78846.8,-963516388,305972894,0.793958,0.0311929,0
1462053242.03,78847,-963516260,305972894,0.793958,0.0327464,0
1462053242.23,78847.2,-963516260,305972862,0.767493,0.0351224,0
1462053242.43,78847.4,-963516260,305972798,0.767493,0.0371024,0
1462053242.63,78847.6,-963516260,305972766,0.793958,0.0387778,0
1462053242.83,78847.7,-963516260,305972766,0.820423,0.0402705,0
1462053243.03,78848,-963516260,305972640,0.979215,0.0444133,0
1462053243.23,78848.2,-963516260,305972576,1.13801,0.0463019,0
1462053243.43,78848.4,-963516260,305972480,1.32326,0.0477945,0
1462053243.63,78848.6,-963516260,305972353,1.64085,0.0490434,0
1462053243.83,78848.8,-963516260,305972226,1.9055,0.0508407,0
1462053244.03,78849,-963516133,305972131,2.22308,0.0522724,0
1462053244.23,78849.2,-963516133,305971940,2.5142,0.0534604,0
1462053244.43,78849.4,-963516133,305971781,2.83178,0.0544961,0
1462053244.63,78849.5,-963516133,305971718,2.96411,0.0548921,0
1462053244.83,78849.8,-963516260,305971463,3.36109,0.0562629,0
1462053245.03,1314,-963516260,305971304,3.62574,0.056994,0
1462053245.23,78850.2,-963516260,305971177,3.83746,0.0579383,0
1462053245.43,78850.3,-963516260,305971050,3.94332,0.0582429,0
1462053245.63,78850.6,-963516388,305970859,4.12858,0.0593091,0
1462053245.83,78850.8,-963516388,305970700,4.26091,0.0600706,0
1462053246.03,78851,-963516388,305970541,4.39323,0.0606494,0
1462053246.23,78851.2,-963516515,305970350,4.47263,0.0612282,0
1462053246.43,78851.4,-963516515,305970255,4.57849,0.0617765,0
1462053246.63,78851.6,-963516769,305970128,4.63142,0.0620506,0
1462053246.83,78851.8,-963516769,305969969,4.57849,0.0615937,0
1462053247.03,78852,-963516896,305969746,4.47263,0.0608322,0
1462053247.23,78852.2,-963516769,305969620,4.20798,0.0591568,0
1462053247.43,78852.4,-963516769,305969524,3.91686,0.056994,0
1462053247.63,78852.6,-963516769,305969397,3.67867,0.0545266,0
1462053248.03,78853,-963516515,305969142,3.70514,0.0516327,0
1462053248.23,75253.2,-963516388,305969016,3.75807,0.0504751,0
1462053248.43,78853.4,-963516388,305968856,3.78453,0.0500182,0
1462053248.63,78853.6,-963516388,305968729,3.83746,0.049805,0
1462053248.83,78853.8,-963516388,305968570,3.91686,0.0497441,0
1462053249.03,78853.9,-963516388,305968507,3.96979,0.0498355,0
1462053249.23,78854.2,-963516388,305968252,4.04919,0.0501705,0
1462053249.43,78854.4,-963516260,305968125,3.96979,0.0507798,0
1462053249.63,78854.5,-963516260,305968062,3.91686,0.050993,0
1462053249.83,78854.7,-963516260,305967934,3.811,0.0513585,0
1462053250.03,78855,-963516260,305967776,3.59928,0.0521505,0
1462053250.23,78855.2,-963516260,305967648,3.44048,0.0527902,0
1462053250.43,78855.4,-963516260,305967553,3.25523,0.0532167,0
1462053250.63,78855.6,-963516388,305967522,3.06997,0.0536127,0
1462053250.83,78855.8,-963516388,305967426,2.83178,0.0541306,0
1462053251.03,78856,-963516388,305967394,2.62006,0.0543438,0
1462053251.23,78856.2,-963516388,305967299,2.40834,0.0544047,0
1462053251.43,78856.4,-963516388,305967267,2.22308,0.0544047,0
1462053251.63,78856.6,-963516388,305967235,2.01136,0.0542829,0
1462053252.03,78857,-963516388,305967204,1.66731,0.0542524,0
1462053252.23,78857.2,-963516388,305967140,1.53499,0.0542524,0
1462053252.43,78857.4,-963516388,305967108,1.37619,0.0541001,0
1462053252.63,78857.6,-963516388,305967108,1.27033,0.0537955,0
1462053252.83,78857.8,-963516388,305967044,1.24387,0.0533995,0
1462053253.03,78858,-963516388,305967044,1.24387,0.0530339,0
1462053253.23,78858.2,-963516388,305966981,1.2968,0.0527293,0
1462053253.43,78858.4,-963516388,0,1.37619,0.0526989,0
1462053253.63,78858.6,-963516388,305966822,1.50852,0.0526379,0
1462053253.83,78858.8,-963516260,305833308,1.74671,0.0530949,0
1462053254.03,78859,-963516260,305966568,1.93196,0.0535823,0
1462053254.33,78859.2,-963516260,305966472,2.14369,0.0539782,0
1462053254.43,78859.4,-963516260,305966345,2.32894,0.0543743,0
1462053254.63,78859.6,-963516260,305949974,2.48773,0.055014,0
1462053254.83,78859.8,-963516260,305966091,2.67299,0.0555623,0
1462053255.03,78860,-963516260,305965964,2.83178,0.0562629,0
1462053255.23,78860.2,-963516260,305965836,2.99057,0.0569026,0
1462053255.43,78860.4,-963516260,305965741,3.09644,0.0575423,0
1462053255.63,78860.6,-963516388,305965550,3.2023,0.0581515,0
1462053255.83,78860.8,-963516388,305965487,3.25523,0.0586694,0
1462053256.13,78861,-963516388,305965360,3.33462,0.0592481,0
