systime,rudd,thro
1462052836.53,1.000000,0.000000
1462052836.63,1.000000,0.000000
1462052836.73,1.000000,0.000000
1462052836.83,-0.007843,0.000000
1462052836.93,-0.007843,0.000000
1462052837.03,-0.007843,0.000000
1462052837.13,-0.007843,0.468795
1462052837.23,-0.007843,0.414106
1462052837.33,-0.007843,0.000000
1462052837.43,-0.007843,0.000000
1462052837.53,-0.007843,0.000000
1462052837.63,-0.007843,0.000000
1462052837.73,-0.007843,0.000000
1462052837.83,-0.007843,0.000000
1462052837.93,-0.007843,0.000000
1462052838.03,-0.007843,0.000000
1462052838.13,-0.007843,0.000000
1462052838.23,-0.007843,0.000000
1462052838.33,-0.007843,0.000000
1462052838.43,-0.007843,0.000000
1462052838.53,-0.007843,0.000000
1462052838.63,-0.007843,0.000000
1462052838.73,-0.007843,0.000000
1462052838.83,-0.007843,0.000000
1462052838.93,-0.007843,0.000000
1462052839.03,-0.007843,0.000000
1462052839.13,-0.007843,0.000000
1462052839.23,-0.007843,0.000000
1462052839.33,-0.007843,0.000000
1462052839.43,-0.007843,0.000000
1462052839.53,-0.007843,0.000000
1462052839.63,-0.007843,0.000000
1462052839.73,-0.007843,0.000000
1462052839.83,-0.007843,0.000000
1462052839.93,-0.007843,0.000000
1462052840.03,-0.007843,0.000000
1462052840.13,-0.007843,0.000000
1462052840.23,-0.007843,0.000000
1462052840.33,-0.007843,0.000000
1462052840.43,-0.007843,0.000000
1462052840.53,-0.007843,0.000000
1462052840.63,-0.007843,0.000000
1462052840.73,-0.007843,0.000000
1462052840.83,-0.007843,0.000000
1462052840.93,-0.007843,0.000000
1462052841.03,-0.007843,0.000000
1462052841.13,-0.007843,0.000000
1462052841.23,-0.007843,0.000000
1462052841.33,-0.007843,0.000000
1462052841.43,-0.007843,0.000000
1462052841.53,-0.007843,0.000000
1462052841.63,-0.007843,0.000000
1462052841.73,-0.007843,0.000000
1462052841.83,-0.007843,0.000000
1462052841.93,-0.007843,0.000000
1462052842.03,-0.007843,0.000000
1462052842.13,-0.007843,0.000000
1462052842.23,-0.007843,0.000000
1462052842.33,-0.007843,0.000000
1462052842.43,-0.007843,0.000000
1462052842.53,-0.007843,0.000000
1462052842.63,-0.007843,0.000000
1462052842.73,-0.007843,0.000000
1462052842.83,-0.007843,0.000000
1462052842.93,-0.007843,0.000000
1462052843.03,-0.007843,0.000000
1462052843.13,-0.007843,0.000000
1462052843.23,-0.007843,0.000000
1462052843.33,-0.007843,0.000000
1462052843.43,-0.007843,0.000000
1462052843.53,-0.007843,0.000000
1462052843.63,-0.007843,0.000000
1462052843.73,-0.007843,0.000000
1462052843.83,-0.007843,0.000000
1462052843.93,-0.007843,0.000000
1462052844.03,-0.007843,0.000000
1462052844.13,-0.007843,0.000000
1462052844.23,-0.007843,0.000000
1462052844.33,-0.007843,0.000000
1462052844.43,-0.007843,0.000000
1462052844.53,-0.007843,0.000000
1462052844.63,-0.007843,0.000000
1462052844.73,-0.007843,0.000000
1462052844.83,-0.007843,0.000000
1462052844.93,-0.007843,0.000000
1462052845.03,-0.007843,0.000000
1462052845.13,-0.007843,0.000000
1462052845.23,-0.007843,0.000000
1462052845.33,-0.007843,0.000000
1462052845.43,-0.007843,0.000000
1462052845.53,-0.007843,0.000000
1462052845.63,-0.007843,0.000000
1462052845.73,-0.007843,0.000000
1462052845.83,-0.007843,0.000000
1462052845.93,-0.007843,0.000000
1462052846.03,-0.007843,0.000000
1462052846.13,-0.007843,0.000000
1462052846.23,-0.007843,0.000000
1462052846.33,-0.007843,0.000000
1462052846.43,-0.007843,0.000000
1462052846.53,-0.007843,0.000000
1462052846.63,-0.007843,0.000000
1462052846.73,-0.007843,0.000000
1462052846.83,-0.007843,0.000000
1462052846.93,-0.007843,0.000000
1462052847.03,-0.007843,0.000000
1462052847.13,-0.007843,0.000000
1462052847.23,-0.007843,0.000000
1462052847.33,-0.007843,0.000000
1462052847.43,-0.007843,0.000000
1462052847.53,-0.007843,0.000000
1462052847.63,-0.007843,0.000000
1462052847.73,-0.007843,0.000000
1462052847.83,-0.007843,0.000000
1462052847.93,-0.007843,0.000000
1462052848.03,-0.007843,0.000000
1462052848.13,-0.007843,0.000000
1462052848.23,-0.007843,0.000000
1462052848.33,-0.007843,0.000000
1462052848.43,-0.007843,0.000000
1462052848.53,-0.007843,0.000000
1462052848.63,-0.007843,0.000000
1462052848.73,-0.007843,0.000000
1462052848.83,-0.007843,0.000000
1462052848.93,-0.007843,0.000000
1462052849.03,-0.007843,0.000000
1462052849.13,-0.007843,0.000000
1462052849.23,-0.007843,0.000000
1462052849.33,-0.007843,0.000000
1462052849.43,-0.007843,0.000000
1462052849.53,-0.007843,0.000000
1462052849.63,-0.007843,0.000000
1462052849.73,-0.007843,0.000000
1462052849.83,-0.007843,0.000000
1462052849.93,-0.007843,0.000000
1462052850.03,-0.007843,0.000000
1462052850.13,-0.007843,0.000000
1462052850.23,-0.007843,0.000000
1462052850.33,-0.007843,0.000000
1462052850.43,-0.007843,0.000000
1462052850.53,-0.007843,0.000000
1462052850.63,-0.007843,0.000000
1462052850.73,-0.007843,0.000000
1462052850.83,-0.007843,0.000000
1462052850.93,-0.007843,0.000000
1462052851.03,-0.007843,0.000000
1462052851.13,-0.007843,0.000000
1462052851.23,-0.007843,0.000000
1462052851.33,-0.007843,0.000000
1462052851.43,-0.007843,0.000000
1462052851.53,-0.007843,0.000000
1462052851.63,-0.007843,0.000000
1462052851.73,-0.007843,0.000000
1462052851.83,-0.007843,0.000000
1462052851.93,-0.007843,0.000000
1462052852.03,-0.007843,0.000000
1462052852.13,-0.007843,0.000000
1462052852.23,-0.007843,0.000000
1462052852.33,-0.007843,0.000000
1462052852.43,-0.007843,0.000000
1462052852.53,-0.007843,0.000000
1462052852.63,-0.007843,0.000000
1462052852.73,-0.007843,0.000000
1462052852.83,-0.007843,0.000000
1462052852.93,-0.007843,0.000000
1462052853.03,-0.007843,0.000000
1462052853.13,-0.007843,0.000000
1462052853.23,-0.007843,0.000000
1462052853.33,-0.007843,0.000000
1462052853.43,-0.007843,0.000000
1462052853.53,-0.007843,0.000000
1462052853.63,-0.007843,0.000000
1462052853.73,-0.007843,0.000000
1462052853.83,-0.007843,0.000000
1462052853.93,-0.007843,0.000000
1462052854.03,-0.007843,0.000000
1462052854.13,-0.007843,0.000000
1462052854.23,-0.007843,0.000000
1462052854.33,-0.007843,0.000000
1462052854.43,-0.007843,0.000000
1462052854.53,-0.007843,0.000000
1462052854.63,-0.007843,0.000000
1462052854.73,-0.007843,0.000000
1462052854.83,-0.007843,0.000000
1462052854.93,-0.007843,0.000000
1462052855.03,-0.007843,0.000000
1462052855.13,-0.007843,0.000000
1462052855.23,-0.007843,0.000000
1462052855.33,-0.007843,0.000000
1462052855.43,-0.007843,0.000000
1462052855.53,-0.007843,0.000000
1462052855.63,-0.007843,0.000000
1462052855.73,-0.007843,0.000000
1462052855.83,-0.007843,0.000000
1462052855.93,-0.007843,0.000000
1462052856.03,-0.007843,0.000000
1462052856.13,-0.007843,0.000000
1462052856.23,-0.007843,0.000000
1462052856.33,-0.007843,0.000000
1462052856.43,-0.007843,0.000000
1462052856.53,-0.007843,0.000000
1462052856.63,-0.007843,0.000000
1462052856.73,-0.007843,0.000000
1462052856.83,-0.007843,0.000000
