systime,rudd,thro
1462052844.43,-0.007843,0.000000
1462052844.63,-0.007843,0.000000
1462052845.03,-0.007843,0.000000
1462052845.23,-0.007843,0.000000
1462052845.43,-0.007843,0.000000
1462052845.83,-0.007843,0.000000
1462052846.03,-0.007843,0.000000
1462052846.23,-0.007843,0.000000
1462052846.43,-0.007843,0.000000
1462052846.63,-0.007843,0.000000
1462052847.03,-0.007843,0.000000
1462052847.23,-0.007843,0.000000
1462052847.43,-0.007843,0.000000
1462052847.63,-0.007843,0.000000
1462052847.83,-0.007843,0.000000
1462052848.03,-0.007843,0.000000
1462052848.23,-0.007843,0.000000
1462052848.63,-0.007843,0.000000
1462052848.83,-0.007843,0.000000
1462052849.03,-0.007843,0.000000
1462052849.23,-0.007843,0.000000
1462052849.43,-0.007843,0.000000
1462052849.83,-0.007843,0.000000
1462052850.03,-0.007843,0.000000
1462052850.23,-0.007843,0.000000
1462052850.43,-0.007843,0.000000
1462052850.63,-0.007843,0.000000
1462052850.83,-0.007843,0.000000
1462052851.03,-0.007843,0.000000
1462052851.23,-0.007843,0.000000
1462052851.43,-0.007843,0.000000
1462052851.63,-0.007843,0.000000
1462052851.83,-0.007843,0.000000
1462052852.03,-0.007843,0.000000
1462052852.23,-0.007843,0.000000
1462052852.43,-0.007843,0.000000
1462052852.63,-0.007843,0.000000
1462052852.83,-0.007843,0.000000
1462052853.43,-0.007843,0.000000
1462052853.63,-0.007843,0.000000
1462052854.03,-0.007843,0.000000
1462052854.23,-0.007843,0.000000
1462052854.43,-0.007843,0.000000
1462052854.63,-0.007843,0.000000
1462052854.83,-0.007843,0.000000
1462052855.03,-0.007843,0.000000
1462052855.23,-0.007843,0.000000
1462052855.43,-0.007843,0.000000
1462052855.63,-0.007843,0.000000
1462052856.03,-0.007843,0.000000
1462052856.23,-0.007843,0.000000
1462052856.43,-0.007843,0.000000
1462052856.63,-0.007843,0.000000
1462052856.83,-0.007843,0.000000
1462052857.03,-0.007843,0.000000
1462052857.23,-0.007843,0.000000
1462052857.43,-0.007843,0.000000
1462052857.63,-0.007843,0.000000
1462052857.83,-0.007843,0.000000
1462052858.03,-0.007843,0.000000
1462052858.23,-0.007843,0.000000
1462052858.43,-0.007843,0.000000
1462052858.63,-0.007843,0.000000
1462052858.83,-0.007843,0.000000
1462052859.03,-0.007843,0.000000
1462052859.23,-0.007843,0.000000
1462052859.43,-0.007843,0.000000
1462052859.63,-0.007843,0.000000
1462052859.83,-0.007843,0.000000
1462052860.03,-0.007843,0.000000
1462052860.23,-0.007843,0.000000
1462052860.43,-0.007843,0.000000
1462052860.63,-0.007843,0.000000
1462052860.83,-0.007843,0.000000
1462052861.03,-0.007843,0.000000
1462052861.23,-0.007843,0.000000
1462052861.63,-0.007843,0.000000
1462052861.83,-0.007843,0.000000
1462052862.03,-0.007843,0.000000
1462052862.23,-0.007843,0.000000
1462052862.43,-0.007843,0.000000
1462052862.63,-0.007843,0.000000
1462052863.03,-0.007843,0.000000
1462052863.23,-0.007843,0.000000
1462052863.63,-0.007843,0.000000
1462052863.83,-0.007843,0.000000
1462052864.03,-0.007843,0.000000
1462052864.23,-0.007843,0.000000
1462052864.43,-0.007843,0.000000
1462052864.63,-0.007843,0.000000
1462052865.03,-0.007843,0.000000
1462052865.23,-0.007843,0.000000
1462052865.43,-0.007843,0.000000
1462052865.63,-0.007843,0.000000
1462052865.83,-0.007843,0.000000
1462052866.03,-0.007843,0.000000
1462052866.23,-0.007843,0.000000
1462052866.43,-0.007843,0.000000
1462052866.63,-0.007843,0.000000
1462052866.83,-0.007843,0.000000
1462052867.03,-0.007843,0.000000
1462052867.43,-0.007843,0.000000
1462052867.63,-0.007843,0.000000
1462052867.83,-0.007843,0.000000
1462052868.23,-0.007843,0.000000
1462052868.43,-0.007843,0.000000
1462052868.63,-0.007843,0.000000
1462052868.83,-0.007843,0.000000
1462052869.03,-0.007843,0.000000
1462052869.23,-0.007843,0.000000
1462052869.43,-0.007843,0.000000
1462052869.63,-0.007843,0.000000
1462052869.83,-0.007843,0.000000
1462052870.03,-0.007843,0.000000
1462052870.23,-0.007843,0.000000
1462052870.43,-0.007843,0.000000
1462052870.63,-0.007843,0.000000
1462052870.83,-0.007843,0.000000
1462052871.03,-0.007843,0.000000
1462052871.23,-0.007843,0.000000
1462052871.43,-0.007843,0.000000
1462052871.63,-0.007843,0.000000
1462052872.03,-0.007843,0.000000
1462052872.23,-0.007843,0.000000
1462052872.43,-0.007843,0.000000
1462052872.63,-0.007843,0.000000
1462052872.83,-0.007843,0.000000
1462052873.03,-0.007843,0.000000
1462052873.23,-0.007843,0.000000
